time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
4.827,1588,9092,-13412,-581,-12473,-1119
4.8465,3520,7096,-14896,-1790,-10710,-4692
4.8684,3648,7396,-13504,-614,-10391,-4765
4.886,3440,7436,-15300,-2013,-8755,-5999
4.907,4676,8056,-14540,-1241,-9088,-6785
4.9275,5728,9004,-14300,-1911,-9031,-7028
4.946,6360,7812,-14556,-2260,-10375,-6593
4.9661,8184,6148,-16448,-49,-10905,-8168
4.9872,10632,6636,-17272,3350,-8837,-10532
5.007,10408,8456,-15996,6011,-7009,-11492
5.0271,9204,8644,-18740,8900,-6173,-12186
5.0459,7940,6716,-21988,10632,-3466,-13149
5.0666,9648,6948,-21628,15334,-4047,-16516
5.0874,12772,13056,-21160,19156,3901,-28619
5.1069,15136,22564,-14016,10806,-15225,-16039
5.1261,22064,32767,-7716,14741,-13015,-32768
5.1459,26668,32767,-25364,-32302,-32768,32767
5.1678,16876,-15208,-32768,-18149,6192,7975
5.1875,-19004,-27896,-21756,5610,15764,-32768
5.2067,-5180,-1960,-22928,19316,-14940,-32768
5.2267,12720,14492,-24740,-2593,19256,2950
5.246,-30196,6256,-7516,-9156,18631,19962
5.2667,-20868,-6252,-9988,-7418,-20964,4981
5.2879,9568,7420,-18120,-3018,8401,4645
5.3072,-4160,10032,-7912,-10597,26305,13699
5.3291,-11572,-1540,-5640,-10168,19171,8384
5.3458,-4648,392,-11216,-5212,22059,2937
5.3673,-2560,5376,-10660,-5975,25984,6569
5.3863,-676,6692,-7036,-6867,19112,12048
5.4075,1756,1616,-14408,-9263,27197,22023
5.4286,-9316,2180,-14260,-5789,31553,13981
5.4465,-9664,12748,-10628,-8789,27411,19969
5.4665,-16796,18808,-20708,-20907,28777,25399
5.4865,-15824,16480,-13748,-28212,14822,32767
5.5063,-4476,12660,-17084,-31707,9004,32767
5.5265,5556,5284,-25840,-31646,6708,32767
5.5463,6584,3556,-32768,-15934,6517,32767
5.5668,15456,-12604,-17900,534,15220,21977
5.5867,-5544,-5436,-1296,12918,8095,7253
5.6067,-5844,7756,-164,14058,-22055,-6925
5.6263,8812,10068,-12380,1880,-27292,-1898
5.6466,7900,2104,-21312,9318,-13491,-16382
5.6672,26560,9752,-17860,24248,-19364,-32768
5.6861,32767,31848,-28784,11354,32767,-4577
5.7065,-25428,13912,-24760,11803,32767,-12820
5.7275,-28720,16064,-792,21433,-27845,-32768
5.746,19316,18452,-24064,-731,-23575,-19964
5.7666,9704,4436,-20312,-3524,24074,-8176
5.7866,-20300,2608,-8196,-1774,1596,-15017
5.8068,-5348,8120,-18512,-2918,-20566,-19062
5.827,16836,14612,-18400,-6139,-12154,-10671
5.8463,16188,12156,-11232,-8676,-5528,954
5.8666,11116,4004,-9384,-5897,-11295,5767
5.8867,10268,1204,-13944,-392,-15747,6095
5.9067,9964,1052,-16256,5374,-12042,3761
5.9267,6240,4304,-14320,9573,-13014,322
5.946,5280,8984,-15692,8037,-12252,1667
5.967,2036,11880,-19628,6219,-5292,-2256
5.9868,3396,13676,-12164,4056,-10190,-985
6.0066,520,9744,-13472,-979,-10317,459
6.0263,528,6532,-14592,-505,-12118,-2122
6.0462,4084,6448,-14364,-86,-10059,-4682
6.0663,3384,6692,-14572,-789,-8518,-6139
6.086,3800,6816,-14820,-617,-9034,-6412
6.1064,3496,7100,-15808,-1478,-7861,-7107
6.1282,3004,8576,-14140,-992,-9921,-8683
6.1459,6392,10504,-14560,-1734,-10690,-7201
6.1677,8064,9388,-16928,-654,-11687,-6987
6.1866,10676,7476,-17916,1365,-10087,-7344
6.2075,9984,5380,-19460,5826,-7517,-9512
6.2267,8376,6572,-21828,10430,-4414,-12628
6.2461,9140,7460,-20324,13001,-4322,-13441
6.2666,12612,8004,-22808,15943,-2404,-21637
6.2868,12824,23080,-15156,16849,-3794,-20018
6.3063,23716,25612,-9536,13460,-11582,-32768
6.3268,23492,32767,-11192,-3280,-32768,15958
6.3464,27164,7168,-32768,-24721,-19310,20715
6.367,-3844,-23436,-31260,-9942,20420,-10580
6.3875,-22864,-13576,-17128,22459,-9124,-32768
6.4069,12664,9692,-24612,6260,-419,-15313
6.4277,-8300,7856,-17712,-5547,32767,2944
6.446,-32768,-2908,-3916,-12834,-8574,16173
6.4676,-2244,-24,-18664,-5096,-10319,1617
6.4876,5140,11528,-12112,-8165,26566,8494
6.5064,-12640,5100,-4280,-13717,20615,14327
6.527,-8040,-1820,-9148,-8831,20834,4600
6.5471,-4052,2596,-11364,-6923,23462,7243
6.5664,-3964,5996,-9444,-6365,23351,8329
6.586,1780,8004,-14300,-9498,23655,17820
6.6068,-6132,3656,-14820,-10297,27217,19253
6.628,-7820,9068,-10560,-11679,25478,20362
6.646,-10252,15808,-15900,-19271,24332,28967
6.6672,-13604,11924,-17464,-24995,18018,30999
6.6871,-5624,10760,-17148,-24971,17248,32026
6.7068,-588,11144,-18224,-27174,8894,32767
6.7287,2404,4048,-26968,-17975,7861,32767
6.7471,4848,4628,-31488,-9023,-2176,30996
6.768,14972,-4104,-9628,4397,18646,18262
6.7873,-8600,64,1912,9264,-470,4029
6.8063,-4228,7832,-6352,5908,-23710,-4200
6.827,5300,4440,-16320,4286,-17433,-10405
6.847,988,3224,-18804,16997,-13129,-27177
6.8674,22104,20956,-15628,21794,-24998,-32768
6.8867,32767,29748,-25440,6768,26631,221
6.9063,-13092,7192,-22912,4018,32767,-8399
6.9281,-28828,11752,1984,23489,-12217,-32768
6.946,17288,20924,-22400,-2000,-28948,-19152
6.9667,18160,8868,-25796,-4100,20756,-6917
6.9869,-16108,1736,-11744,705,8105,-13802
7.0062,-10292,7732,-16756,-345,-18160,-17079
7.0273,8848,12412,-19816,-6167,-11331,-6562
7.0461,9436,9292,-11304,-6529,-7633,-2944
7.0663,14056,8648,-9088,-4740,-16161,4856
7.0866,15808,2200,-15352,-3015,-13063,8295
7.1086,9120,-364,-14680,5261,-9985,2788
7.1275,5340,5396,-13028,8505,-13448,2614
7.1469,5492,7664,-15096,6432,-13635,1982
7.1668,3980,9752,-14500,4084,-11015,395
7.187,2784,11480,-13492,1001,-10333,905
7.2062,1396,9692,-12504,-398,-12270,-850
7.2261,3480,7864,-14364,-408,-11068,-3080
7.246,5336,8008,-13376,-1087,-9426,-4906
7.2665,3884,7976,-15480,-1496,-9668,-4812
7.2866,3864,6424,-15988,-1583,-8627,-6841
7.3063,5480,7088,-14168,-627,-10356,-7660
7.3263,7448,9300,-12964,-1581,-11314,-6860
7.3462,9572,7736,-14548,-1787,-12938,-4402
7.3663,10020,5068,-17300,441,-12645,-5813
7.3866,11188,4860,-18520,5159,-8307,-9873
7.4067,8968,6548,-21288,8479,-7129,-10212
7.428,5720,5632,-21692,11909,-4588,-13805
7.4463,7276,8624,-20672,16533,-6384,-18230
7.4704,12272,18868,-19108,17895,-8343,-18704
7.4869,22140,15804,-15796,12256,-12153,-16554
7.5065,20004,32767,-5804,10666,-20129,-19953
7.5265,24524,24736,-26860,-27204,-32768,24764
7.5462,10804,-12856,-32768,-16698,8100,-4324
7.5663,-15788,-15004,-14516,7655,18524,-32768
7.5867,-7600,-2656,-20572,179,-15417,-21906
7.6062,4592,5272,-22160,604,13185,-12219
7.6271,-17252,-3240,-14748,-3161,17196,11683
7.6462,-19096,2612,-3212,5641,-3313,1045
7.6666,3448,20380,-10504,-8393,5777,14204
7.6865,-4648,4576,-14572,-16429,21446,20639
7.7063,-12536,-3848,-9428,-6313,19978,7333
7.7298,-6960,6540,-8828,-5836,18508,7578
7.7465,-664,8716,-8508,-8172,18160,12410
7.7668,1808,3904,-12068,-10902,19438,22172
7.7868,-164,-2240,-16892,-6322,26821,18775
7.8069,-5116,4868,-13252,-2576,26970,17629
7.8266,-6016,14672,-10792,-8469,24242,25536
7.8462,-12732,20120,-16956,-22148,22283,32767
7.8663,-9160,13428,-12156,-27937,14266,32536
7.8866,2244,14116,-17012,-26316,17880,30785
7.9069,6728,8804,-28424,-27062,7717,32767
7.9266,4984,4376,-32768,-16050,10175,32767
7.9463,2204,-9584,-17412,2774,26148,22381
7.9669,-12216,2896,2260,14876,5785,7754
7.9874,192,11568,168,5082,-26865,2826
8.0063,18864,8204,-14264,-7056,-18824,7599
8.0262,4576,-2084,-12572,-1528,-1468,-7217
8.0461,-11940,1292,-11652,9819,-13469,-20984
8.0675,6676,14420,-18608,21243,-26616,-32768
8.087,32767,29224,-22220,12464,-8355,-22828
8.1065,32767,21236,-25020,4522,32767,16154
8.128,-32768,5908,-19676,10924,27726,-20431
8.147,-16588,15580,-1408,23911,-31148,-32768
8.1666,32767,21308,-22308,-4909,-17653,-12674
8.1873,17344,1876,-24000,-11887,26791,6630
8.2066,-24968,-10344,-14412,6146,17087,-20301
8.2276,-16604,10284,-14964,11893,-25148,-28013
8.2463,16540,24348,-19832,-1642,-15145,-10421
8.2668,16932,9972,-12776,-9962,-2617,5720
8.2877,9068,196,-11324,-4390,-10728,4963
8.3066,9328,-668,-16292,4505,-8871,54
8.3267,8800,6268,-12040,9399,-10185,-1017
8.3462,10400,10064,-9992,6414,-11254,3055
8.367,7484,8568,-13508,2335,-11983,4705
8.3868,4160,6840,-14824,1748,-10840,2069
8.4069,2108,6240,-14908,2522,-9057,-1028
8.4265,1428,8752,-13948,1764,-9492,-1819
8.4462,2692,10920,-14072,-25,-9880,-1212
8.4667,2776,9248,-14388,-2703,-9041,-1614
8.4871,2632,7916,-13456,-2355,-9926,-2122
8.507,3064,9220,-15548,-2934,-9247,-2567
8.5277,4100,9508,-13876,-3811,-10306,-1779
8.546,4892,8296,-13844,-4016,-11651,-615
8.5668,6216,6336,-14228,-3084,-13033,625
8.5873,6548,4668,-16212,-1670,-10706,147
8.6065,4524,4724,-15984,1400,-11357,-520
8.628,6212,6312,-15988,3184,-11671,154
8.6462,6556,6160,-15892,4231,-10486,323
8.6665,4020,9348,-15020,4102,-9817,-665
8.687,2312,8656,-15640,2860,-12945,903
8.7066,3096,6760,-19652,1703,-13654,788
8.7268,4472,5748,-16832,4568,-11222,-4698
8.7462,3792,8748,-15844,4795,-13941,-1682
8.7663,10424,10168,-15720,5536,-12990,-5059
8.7861,14540,10296,-18084,6466,-10532,-4741
8.8065,5168,14864,-17188,4350,-8843,1693
8.8273,-6352,12432,-16016,-1532,-16430,2010
8.8461,-6448,11788,-19532,-3442,-21827,-648
8.8663,260,-376,-24796,-8583,-18399,2655
8.8874,-6144,-8100,-21644,328,-2108,-2200
8.9066,-14752,-4468,-13988,9141,-3535,-2871
8.9292,-4116,-4172,-13584,21888,8993,-6171
